p
()-[:IN_GENRE]->()
()-[:DIRECTED]->()
()-[:ACTED_IN]->()
()-[:WATCHED {rating: 4.8}]->()
()-[:WATCHED {rating: 4.5}]->()
()-[:WATCHED {rating: 5.0}]->()
()-[:WATCHED {rating: 4.2}]->()
()-[:WATCHED {rating: 4.9}]->()
()-[:WATCHED {rating: 4.7}]->()
()-[:WATCHED {rating: 3.5}]->()
()-[:WATCHED {rating: 4.0}]->()
()-[:WATCHED {rating: 4.3}]->()
()-[:WATCHED {rating: 4.9}]->()
()-[:WATCHED {rating: 4.7}]->()
()-[:WATCHED {rating: 2.0}]->()
()-[:WATCHED {rating: 4.5}]->()
()-[:WATCHED {rating: 3.8}]->()
()-[:WATCHED {rating: 4.6}]->()
